col_name	feature_importance_vals
KRT13	0.0051779297615027675
KRT24	0.004777667192120724
AQP3	0.0034233934079964897
KRT3	0.003245683988223757
AQP5	0.003230531896117747
MT1X	0.002810552606862839
DCN	0.002712833865488251
MGST1	0.0026016827323692383
KRT19	0.0025738770425840583
PTGDS	0.002288039718978336
LYPD2	0.0021227086951760956
CLDN4	0.002084016239350086
PLAU	0.0019552897161992525
CTSV	0.001850406836353616
MUC16	0.001737694318601596
APOD	0.0016804833301890467
RAB6B	0.0016279361873572983
VIM	0.001616975905010138
NEAT1	0.001592606848796105
TBC1D22B	0.0015621470718185577
RELL1	0.0015561573258088264
SLC20A1	0.0015090115862800208
GPNMB	0.001399814296997617
HES1	0.0013459871641876707
HECTD1	0.0013353502667383188
BCO2	0.0013316790492447523
ELP4	0.0013139582553426108
BTG2	0.001281125358496673
BTG1	0.001256663079026466
DHX36	0.0012277937241743882
LINC01983	0.0012155168112287626
CD24	0.001155249346212565
EZR	0.0011495800838969097
IL36G	0.0011429301553485525
ETFB	0.0011395197007999297
KRT12	0.0011373136237997417
BAG1	0.0011289297180807692
LGALSL	0.0011124076253892694
COL6A2	0.0010891896211012693
IL18	0.0010785194634126347
MUC21	0.001053544460126694
H19	0.0010494346062346342
FOS	0.0010466692868428009
HNRNPK	0.000999963304947229
C1orf52	0.0009595186976510037
ANGPTL7	0.00095072324690138
JUP	0.0009243889297450973
GTF3C2	0.0009197355582392132
PLAAT4	0.0009157799967886091
GJB2	0.0009155755307737466
CD55	0.0009056663475086686
LUM	0.000904865849425993
TICAM1	0.0009036974530918069
SLC30A6	0.0009002507114541187
ALOX15B	0.0008979104588245955
NDUFA4L2	0.0008845638818875206
DDX56	0.000878464956057152
DARS	0.0008778609116537695
ID1	0.0008729148678291577
CIB1	0.0008728537724147687
TUBB2A	0.0008703383313523533
CSNK1A1	0.0008679102565439588
CDKN1B	0.0008663572515328902
NXN	0.0008613864569204012
TMEM173	0.0008586241068931182
EMP2	0.0008570387374846428
DUSP3	0.000850572161404143
RER1	0.0008495784969520333
PHB	0.0008368221616969689
SCAMP3	0.0008359805451701455
FAM222B	0.0008275745194334804
TGFBI	0.0008192825152656724
NF1	0.0008164159160160344
PSMB9	0.0008128370297689914
THAP9-AS1	0.0008086534454548912
DAAM1	0.0008053279405446894
POLE4	0.0008049882372859275
CNOT2	0.0008036861723660964
ZNF131	0.0008027826697588553
RGS12	0.0007950417895930192
SLC35A2	0.0007941258223108595
SOD3	0.0007829035501499271
RNF223	0.0007761239332314299
YOD1	0.0007715783684825044
UPF2	0.0007677378367645712
BCAM	0.0007676422453882538
SPECC1L	0.000765987479821884
SRSF7	0.0007639790203705058
RBIS	0.000761064727053263
HM13	0.0007602335660363881
RECQL5	0.0007585526557672138
SOX6	0.0007537111442138722
MRTFB	0.000749140429408685
XAB2	0.0007486742466576128
STRA6	0.0007432025518741322
SLC30A4	0.0007290538743221466
TSPO	0.0007171849811365294
MUC20	0.0007132182367046032
STARD10	0.0007126231456474913
STAT5B	0.0007119622130882349
CSRP2	0.0007115548448393485
CDKN1C	0.000706652525575758
FOXN3	0.0007063681973473605
DCP2	0.0007054484419936114
SPON1	0.0007045364461372727
DDX20	0.0007017213457022592
RAB40B	0.0006990103935933842
DIAPH2	0.0006965357607526451
AP3S2	0.0006936273876198974
C12orf75	0.0006901942003724948
CXCL17	0.0006875660812608111
EFNA5	0.0006871179849148541
UBE2G1	0.0006746619902244396
EXOSC2	0.0006723602017851622
PCSK1N	0.0006700905963657228
JAGN1	0.0006697754127350643
DCTD	0.0006688004317726943
CAB39L	0.0006645572633958511
AC027279.1	0.0006548959119074204
LAMB3	0.0006514086245425727
HS3ST1	0.0006472053862437799
CYP51A1	0.0006446081101105479
AFDN	0.0006442631610571949
NEK7	0.0006353836601376843
AL031123.1	0.0006336127047470931
AC095055.1	0.000633460612188596
NOL3	0.0006330789430483387
PCBP2	0.0006323885900229331
SLK	0.0006311066190194046
GALNT2	0.0006237741089435532
MTRNR2L12	0.0006224140807105732
BECN1	0.0006175893846158523
NFX1	0.0006175415108694608
TUBB4B	0.0006168483975883311
CAST	0.0006166403551265288
PPP1R14C	0.0006156516883580973
MED15	0.0006112055627393298
PSMA7	0.000609576893767937
SHISA9	0.0006036832767882775
TRIB1	0.0006003867879123606
HNRNPM	0.0005993808056997754
TMEM184A	0.0005980972713059647
MTAP	0.0005970685434657853
GSAP	0.0005953881974699118
RAB10	0.0005953356657235354
TNNT3	0.0005928264240979472
PRMT1	0.0005916086869574499
CBWD1	0.0005904136743288134
S100A6	0.0005881392339418995
GSN	0.0005870353257156952
