col_name	feature_importance_vals
ANGPTL7	0.5084011898994372
LUM	0.4163447158183968
APOD	0.31864180533210973
KERA	0.20504863549771973
RPS4Y1	0.20195964561247132
CST3	0.18984114301985666
GRP	0.18556785459486086
PTGDS	0.17526140595729825
ANGPTL5	0.1703768862486126
IGFBP7	0.14315462954776575
FOS	0.13783379101569115
GLT8D2	0.1367359660869436
MT-CO3	0.13484563581264036
AQP1	0.134557062516846
EIF5A	0.13292095076574356
IGFBP6	0.1314182884278308
SDC2	0.1260810430564644
COL12A1	0.12275749382979069
SPOCK1	0.1226049469492369
NFKBIA	0.11772576195214457
GADD45G	0.1146861946199221
CFH	0.11406686662566326
HTRA1	0.113570417692042
CD81	0.11349024717723101
IGFBP4	0.10822982055695712
AMD1	0.10500755246254628
SNHG5	0.0990823370733033
KLF6	0.09855215904464494
HSPB1	0.0977638710094695
KDELR1	0.09769124791656872
THBS4	0.09702719301510043
ANXA5	0.09608209144154431
STEAP4	0.09211218626127028
FOSB	0.09194053836462866
RPS4X	0.09170797200551543
CD63	0.09143454710437078
DKK2	0.09047165510124165
EID1	0.09026986958328337
TNFRSF12A	0.09010870665579826
RARRES1	0.0874987378344336
ANP32B	0.08644785317122256
HSP90AA1	0.0862203936006251
DNAJC15	0.0855491883307017
MT2A	0.08534539350595426
TGFBI	0.08500258319519752
MT1X	0.08430476634799824
DDX3Y	0.08403360463394019
MAP1B	0.08388585475007516
ID1	0.08387389600671055
GNAS	0.08338589903465439
CRIP2	0.08283627461183057
RPS8	0.0817220188634234
ARL6IP5	0.08167513177595721
DDIT4	0.08044324405901138
CRYAB	0.08043872920450952
LAMB2	0.08001836760051648
RPS2	0.07979253130667395
H2AFY	0.07943303027911255
ECM1	0.07920976695789499
DCN	0.07902950919183582
KLF3	0.07781900455610351
MT-ATP6	0.07715131086153175
PGAM1	0.0763236972448495
ZGPAT	0.07607753436570831
NBL1	0.07605488368543903
HSP90AB1	0.07578876256690711
WEE1	0.07547574716516077
TMSB4X	0.07533949142951872
TSC22D3	0.0751752766677515
MT-CO2	0.07501734005834934
CXCL14	0.07490054669499019
POU3F3	0.07484615976491821
TUBB4B	0.07484504715425391
YBX1	0.07483662999272173
S100A2	0.07467992737901938
HMOX1	0.07466334440056384
CDKN1C	0.07393362415260765
PTPRE	0.07382371296245954
MINCR	0.07372392699951492
TCEAL9	0.07348350935305908
CLIC1	0.07196626830733169
SHC1	0.07132234528041156
RPS5	0.07122110710768534
NNMT	0.07045866678768187
PERP	0.07030501021431956
XIST	0.07011375388969529
MAFB	0.07011162452354369
AEBP1	0.07007892566506349
UBC	0.06993707121832948
RAI2	0.06985321627283059
MT-ND4	0.06969372417208818
DSP	0.06969258447132222
TCEAL4	0.06928947232036772
C1R	0.06910847186591626
CLDN4	0.06907010322127077
DUSP23	0.06896256314615713
RNF139	0.06863764443606207
PON2	0.068603643229696
WTAP	0.0681806935253605
MAP1LC3B	0.06782457827241091
